,Year,Transformation,Test Statistic,p-value,Result
0,2022,log,0.9705218442681178,9.359417557221355e-07,Reject (not normal)
1,2022,sqrt,0.9097598176681222,5.961329112867739e-14,Reject (not normal)
2,2022,boxcox,0.9957004730480358,0.4185886928649451,Fail to reject (normal)
3,2022,yeojohnson,0.9957095801050002,0.4205520665242222,Fail to reject (normal)
4,2022,reciprocal,0.9894289721834237,0.009720304341554912,Reject (not normal)
5,2022,inv_sqrt,0.9945033433185416,0.21549670551991335,Fail to reject (normal)
6,2022,arcsin_sqrt,0.7957319949758183,4.248837615103987e-21,Reject (not normal)
7,2022,zscore,0.8052790197195566,1.2340443905994562e-20,Reject (not normal)
8,2021,log,0.9468167556966605,3.5262540976460216e-10,Reject (not normal)
9,2021,sqrt,0.8806460188834007,3.2344862688728933e-16,Reject (not normal)
10,2021,boxcox,0.9896479630886807,0.011087003336162438,Reject (not normal)
11,2021,yeojohnson,0.9897819175387517,0.012019196366211172,Reject (not normal)
12,2021,reciprocal,0.9873046993988214,0.002795680436137245,Reject (not normal)
13,2021,inv_sqrt,0.9834485926434023,0.00033783456414595393,Reject (not normal)
14,2021,arcsin_sqrt,0.7616593356764132,1.2538018370273334e-22,Reject (not normal)
15,2021,zscore,0.7936293405494357,3.3765918964720457e-21,Reject (not normal)
16,2020,log,0.9519310192864704,1.4972342963477078e-09,Reject (not normal)
17,2020,sqrt,0.9052936964061633,2.3707561207392082e-14,Reject (not normal)
18,2020,boxcox,0.9917965265055875,0.04073494688348797,Reject (not normal)
19,2020,yeojohnson,0.9917160672715927,0.03875262734235676,Reject (not normal)
20,2020,reciprocal,0.9917576246223825,0.03976404090692741,Reject (not normal)
21,2020,inv_sqrt,0.9808580170224835,8.839475762732883e-05,Reject (not normal)
22,2020,arcsin_sqrt,0.8282497632752812,1.7872845486014514e-19,Reject (not normal)
23,2020,zscore,0.8432086540548617,1.235037006840761e-18,Reject (not normal)
24,2019,log,0.9641447970904954,8.439315268756354e-08,Reject (not normal)
25,2019,sqrt,0.9196546308633932,4.583577314155679e-13,Reject (not normal)
26,2019,boxcox,0.9919773463840363,0.046148710932568594,Reject (not normal)
27,2019,yeojohnson,0.9918964705993744,0.043895537297349976,Reject (not normal)
28,2019,reciprocal,0.9909862024359768,0.025033174855382537,Reject (not normal)
29,2019,inv_sqrt,0.987711075514639,0.003532679917161434,Reject (not normal)
30,2019,arcsin_sqrt,0.8161628185817428,4.369779190210671e-20,Reject (not normal)
31,2019,zscore,0.8560764645793986,7.729837330355069e-18,Reject (not normal)
32,2018,log,0.9681102399384842,3.6520585086678746e-07,Reject (not normal)
33,2018,sqrt,0.9124957902881069,1.0311626403303124e-13,Reject (not normal)
34,2018,boxcox,0.9954185021025703,0.36091776731478886,Fail to reject (normal)
35,2018,yeojohnson,0.9953745338658211,0.35247892726686625,Fail to reject (normal)
36,2018,reciprocal,0.9907244027792314,0.02131937059333418,Reject (not normal)
37,2018,inv_sqrt,0.9933798286999096,0.10969691471169951,Fail to reject (normal)
38,2018,arcsin_sqrt,0.8294849738548428,2.221431675868437e-19,Reject (not normal)
39,2018,zscore,0.8280978223198019,1.8673747230443965e-19,Reject (not normal)
